Phone Number,Spam Classification,Caller Type,Number of Reports,Call Frequency,Location,Time of Call,Duration (seconds),User Review,Confidence Score (%),Last Report Date,Reported by Verified Users,Conversation Text
9348122256,Not Spam,Business,0,0,Unknown,Evening,536,Expected call,12,2024-06-04,False,"Hello, calling to confirm your appointment."
7172856184,Not Spam,None,0,0,Hyderabad,Morning,477,OK,13,2024-09-01,False,This is your delivery service.
7860375999,Not Spam,Business,0,3,Jaipur,Morning,123,OK,41,2024-08-12,False,This is your bank calling to verify a transaction.
9124614219,Not Spam,Business,0,1,Unknown,Night,341,OK,27,2024-11-04,False,This is a follow-up call.
9308424476,Not Spam,Personal,0,0,Jaipur,Afternoon,444,Business call,21,2024-09-05,True,This is your bank calling to verify a transaction.
7228329441,Not Spam,Business,0,0,Unknown,Morning,103,Helpful service,32,2024-10-07,False,Calling from your doctor's office.
7926741163,Not Spam,Personal,0,0,Kolkata,Afternoon,225,Genuine call,47,2024-09-04,False,This is about your recent purchase.
8763377610,Not Spam,Business,0,0,Bangalore,Night,479,Expected call,48,2024-03-26,False,This is your delivery service.
6332521524,Not Spam,Business,0,0,Unknown,Night,1151,Normal call,18,2024-12-05,True,Your requested callback about the service issue.
7007767533,Not Spam,Business,0,0,Unknown,Afternoon,377,Important call,15,2024-11-23,False,Calling from your doctor's office.
6945322710,Not Spam,Business,0,0,Unknown,Afternoon,396,Genuine call,25,2024-03-31,False,This is your delivery service.
9438835956,Not Spam,Service,0,0,Kolkata,Night,257,Expected call,25,2024-06-25,False,We're calling about your account.
8839188822,Not Spam,Service,0,0,Chennai,Afternoon,17,Genuine call,16,2024-07-29,False,"Hi, this is regarding your job application."
7474307042,Spam,Fraudulent Service,7,1,Chennai,Afternoon,413,Annoying call,67,2025-01-23,False,We detected suspicious activity.
7889008228,Not Spam,Service,0,0,Hyderabad,Morning,36,OK,29,2024-12-06,True,"Hello, calling to confirm your appointment."
7505207118,Not Spam,Service,0,0,Unknown,Afternoon,515,Helpful service,35,2024-12-25,False,This is about your recent purchase.
6132849475,Spam,Scammer,3,0,Delhi,Morning,53,Telemarketing spam,83,2024-03-24,True,Your bank account needs verification.
7714922873,Spam,Fraudulent Service,1,1,Mumbai,Afternoon,386,Suspicious call,67,2024-09-27,True,Your computer might be infected.
9551852554,Not Spam,None,0,0,Ahmedabad,Night,1031,Business call,22,2024-03-26,True,We're calling about your account.
8160426916,Spam,Telemarketer,9,0,Chennai,Evening,473,Not sure,70,2024-03-16,False,This is a follow-up call.
8934869632,Spam,Survey,4,4,Jaipur,Evening,517,Possible spam,73,2024-12-19,True,Your opinion matters to us.
